sk_id_curr,target
100001,0.027806963
100005,0.181871384
100013,0.038406095
100028,0.025813237
100038,0.120688102
100042,0.047841195
100057,0.00892511
100065,0.027415968
100066,0.022027702
100067,0.113873333
100074,0.06154577
100090,0.022142711
100091,0.187616956
100092,0.072131014
100106,0.043014158
100107,0.148338914
100109,0.052830079
100117,0.020276561
100128,0.075958892
100141,0.037589436
100150,0.036150034
100168,0.009960751
100169,0.03982391
100170,0.255897277
100171,0.052784262
100172,0.083334488
100184,0.037358915
100187,0.07597657
100212,0.024654456
100222,0.076512799
100223,0.019726462
100232,0.010087554
100241,0.151697467
100245,0.015470523
100253,0.022497254
100256,0.083540825
100271,0.016142979
100278,0.308868927
100280,0.014587487
100306,0.180063385
100311,0.088548386
100312,0.009126514
100330,0.089136685
100331,0.027706828
100352,0.089157091
100358,0.080505634
100367,0.031435209
100382,0.078807138
100384,0.180164815
100385,0.045477205
100386,0.021415089
100399,0.030116545
100404,0.03472819
100416,0.024203657
100422,0.042614561
100426,0.029591528
100438,0.04797634
100444,0.091353542
100445,0.109234762
100446,0.08698739
100447,0.007557453
100450,0.094668022
100466,0.011891582
100483,0.016724089
100484,0.022391021
100494,0.067525691
100510,0.104865166
100512,0.028079127
100517,0.038843957
100548,0.04020989
100551,0.036806178
100552,0.090416462
100553,0.015307082
100561,0.173978417
100568,0.377696816
100569,0.014034189
100591,0.094777571
100592,0.032628439
100602,0.026887667
100607,0.076488434
100613,0.051184498
100617,0.098000599
100618,0.061076715
100622,0.07380147
100625,0.061255268
100677,0.077381104
100699,0.016645056
100702,0.299598357
100711,0.029689948
100729,0.109038538
100740,0.259750285
100744,0.158794828
100745,0.032089276
100747,0.18642602
100751,0.438343594
100752,0.024379366
100753,0.221158346
100754,0.293437509
100760,0.016182764
100762,0.135585019
100763,0.025819406
100765,0.020003761
100770,0.129230577
100772,0.025100895
100777,0.021933006
100791,0.031968175
100792,0.008391626
100797,0.014068296
100823,0.019116275
100826,0.027884664
100830,0.027747076
100836,0.189721175
100872,0.076686073
100910,0.040279328
100913,0.08618288
100918,0.018049361
100931,0.010471629
100952,0.041931354
100953,0.02625364
100965,0.148433219
100970,0.025424974
100982,0.137216598
100983,0.289459236
100984,0.101947291
100987,0.070857943
100997,0.056515101
100998,0.33381389
101002,0.034761504
101005,0.149932043
101008,0.46451062
101020,0.02978258
101021,0.055303387
101024,0.050194251
101025,0.113007593
101026,0.021633046
101031,0.01106083
101041,0.020243924
101051,0.007700863
101055,0.114117458
101056,0.278346674
101057,0.030186284
101064,0.018312673
101079,0.057600325
101087,0.014536071
101090,0.041377618
101092,0.143068999
101097,0.115788325
101099,0.020588409
101107,0.217000378
101118,0.02656165
101125,0.071202277
101126,0.011864528
101128,0.014954952
101136,0.081572217
101140,0.368977633
101149,0.047693286
101160,0.180880883
101169,0.349159698
101181,0.046999694
101186,0.011527064
101190,0.029278556
101193,0.08274164
101194,0.076269097
101198,0.209055429
101200,0.016357431
101204,0.017759962
101211,0.039994086
101213,0.044063384
101223,0.032606536
101225,0.10314977
101237,0.072788886
101243,0.07245939
101244,0.103816959
101258,0.02098917
101259,0.211746638
101268,0.165041847
101269,0.024636614
101271,0.023226008
101279,0.021831633
101281,0.150744404
101287,0.020099726
101292,0.037373661
101294,0.023673826
101296,0.099624011
101297,0.011145722
101299,0.02130632
101301,0.034993109
101305,0.097680702
101308,0.200144387
101318,0.00724922
101327,0.208324754
101329,0.014232373
101332,0.043905584
101337,0.019014454
101343,0.027512113
101345,0.027310117
101346,0.009702033
101353,0.015916374
101354,0.180015107
101355,0.116038191
101356,0.013612603
101362,0.074103392
101363,0.462204729
101365,0.011033693
101366,0.056461411
101367,0.150416443
101368,0.010247338
101374,0.141302737
101380,0.009208924
101383,0.043092391
101398,0.01378178
101399,0.146077707
101401,0.152867475
101412,0.039465932
101426,0.068454013
101427,0.432085458
101428,0.144023932
101429,0.208103446
101434,0.018472834
101440,0.250873637
101448,0.045110311
101449,0.02558394
101465,0.032464747
101467,0.013615289
101472,0.053226462
101478,0.193912661
101497,0.04818571
101504,0.030813005
101547,0.012031879
101548,0.099243541
101555,0.100674866
101570,0.014083955
101572,0.027268617
101578,0.037123132
101580,0.138896234
101588,0.093707309
101602,0.050978986
101610,0.146438767
101614,0.035517563
101616,0.042571172
101643,0.132245862
101644,0.030801033
101649,0.039383108
101650,0.052710893
101665,0.018239951
101667,0.099906466
101669,0.0820067
101674,0.059395192
101675,0.00800969
101678,0.094099563
101682,0.027092365
101686,0.021029351
101697,0.183671264
101700,0.421279921
101711,0.018307061
101714,0.039723754
101715,0.310551791
101728,0.015553268
101732,0.031415632
101757,0.174549255
101758,0.026239625
101759,0.042685692
101762,0.01025666
101764,0.082402925
101780,0.230924135
101784,0.011359224
101789,0.01532274
101816,0.038552915
101819,0.041232437
101827,0.006378161
101863,0.036937195
101867,0.025592818
101870,0.010184153
101873,0.268161264
101878,0.07239236
101879,0.080630929
101880,0.016309294
101887,0.053889525
101897,0.011698228
101901,0.065735628
101903,0.160149414
101920,0.016746354
101921,0.023711991
101922,0.063261561
101961,0.102300268
101962,0.019930733
101971,0.06084603
101976,0.42478806
102002,0.187621953
102005,0.026439337
102007,0.228834587
102017,0.022069748
102019,0.214009804
