sk_id_curr,target
100001,0.028083734
100005,0.184194126
100013,0.036343512
100028,0.026291024
100038,0.117943291
100042,0.046313209
100057,0.008841087
100065,0.027193488
100066,0.02255485
100067,0.112339652
100074,0.060961527
100090,0.022453946
100091,0.189625022
100092,0.07339027
100106,0.043497991
100107,0.1512277
100109,0.053722468
100117,0.021213997
100128,0.071512134
100141,0.038511497
100150,0.034259847
100168,0.010173289
100169,0.042078605
100170,0.251440901
100171,0.050956719
100172,0.083587157
100184,0.037924813
100187,0.076586725
100212,0.025744415
100222,0.078223522
100223,0.01988655
100232,0.010414826
100241,0.152990446
100245,0.015969637
100253,0.021431207
100256,0.084110552
100271,0.015333445
100278,0.30889473
100280,0.014520332
100306,0.179940903
100311,0.090253509
100312,0.008957702
100330,0.08686098
100331,0.027876959
100352,0.089849979
100358,0.082077324
100367,0.032231211
100382,0.076866054
100384,0.178738927
100385,0.04260223
100386,0.021388346
100399,0.030695823
100404,0.033708571
100416,0.024309354
100422,0.042959219
100426,0.029894504
100438,0.046028202
100444,0.095770643
100445,0.11142006
100446,0.087633471
100447,0.007876807
100450,0.094003655
100466,0.012044202
100483,0.017310161
100484,0.021663344
100494,0.069182261
100510,0.105582899
100512,0.028767798
100517,0.040302892
100548,0.040471513
100551,0.036751283
100552,0.093179066
100553,0.015353948
100561,0.174507083
100568,0.375953609
100569,0.014299987
100591,0.093280367
100592,0.030897728
100602,0.028292308
100607,0.079076967
100613,0.051758031
100617,0.094746272
100618,0.060235902
100622,0.072401849
100625,0.064343194
100677,0.071249762
100699,0.017303122
100702,0.291719654
100711,0.030925743
100729,0.112440375
100740,0.265463832
100744,0.166851543
100745,0.033423259
100747,0.183339533
100751,0.438209247
100752,0.024728226
100753,0.219821316
100754,0.285562155
100760,0.016494611
100762,0.135131092
100763,0.025778701
100765,0.020116236
100770,0.125359159
100772,0.025964825
100777,0.021279888
100791,0.032084508
100792,0.008462699
100797,0.014630575
100823,0.019730894
100826,0.028146921
100830,0.028656268
100836,0.181599047
100872,0.078230501
100910,0.04121013
100913,0.084867827
100918,0.018870026
100931,0.011124909
100952,0.042603816
100953,0.026476985
100965,0.151890487
100970,0.025903897
100982,0.134843784
100983,0.282550608
100984,0.100095275
100987,0.070872523
100997,0.058085653
100998,0.330829041
101002,0.033095129
101005,0.151350295
101008,0.457849534
101020,0.030928684
101021,0.055821845
101024,0.050262597
101025,0.115883587
101026,0.02178266
101031,0.011068096
101041,0.020036019
101051,0.007625288
101055,0.115962552
101056,0.281759286
101057,0.029616612
101064,0.018414041
101079,0.056220304
101087,0.015001298
101090,0.040443711
101092,0.142269897
101097,0.112199116
101099,0.020173611
101107,0.213744388
101118,0.027090116
101125,0.069469733
101126,0.012301962
101128,0.015084704
101136,0.080525766
101140,0.357391539
101149,0.049340732
101160,0.174555926
101169,0.351550578
101181,0.045424508
101186,0.011318926
101190,0.030615765
101193,0.083695473
101194,0.077922288
101198,0.210057752
101200,0.016059845
101204,0.017897455
101211,0.040544818
101213,0.044186899
101223,0.033942937
101225,0.107601178
101237,0.075300368
101243,0.072761345
101244,0.108146646
101258,0.020682252
